plan,monthly_usd,included_units,usage_fraction,assumed_unit_cost_usd,used_units,contribution_usd
Starter,49,3000,0,0.002,0,39.23
Starter,49,3000,0,0.004,0,39.23
Starter,49,3000,0,0.008,0,39.23
Starter,49,3000,0.5,0.002,1500.0,36.23
Starter,49,3000,0.5,0.004,1500.0,33.23
Starter,49,3000,0.5,0.008,1500.0,27.23
Starter,49,3000,1,0.002,3000,33.23
Starter,49,3000,1,0.004,3000,27.23
Starter,49,3000,1,0.008,3000,15.23
Grow,149,12000,0,0.002,0,136.23
Grow,149,12000,0,0.004,0,136.23
Grow,149,12000,0,0.008,0,136.23
Grow,149,12000,0.5,0.002,6000.0,124.23
Grow,149,12000,0.5,0.004,6000.0,112.23
Grow,149,12000,0.5,0.008,6000.0,88.23
Grow,149,12000,1,0.002,12000,112.23
Grow,149,12000,1,0.004,12000,88.23
Grow,149,12000,1,0.008,12000,40.23
Team,349,30000,0,0.002,0,330.23
Team,349,30000,0,0.004,0,330.23
Team,349,30000,0,0.008,0,330.23
Team,349,30000,0.5,0.002,15000.0,300.23
Team,349,30000,0.5,0.004,15000.0,270.23
Team,349,30000,0.5,0.008,15000.0,210.23
Team,349,30000,1,0.002,30000,270.23
Team,349,30000,1,0.004,30000,210.23
Team,349,30000,1,0.008,30000,90.23
